StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
135,21,Female,73,12,42,89,2,No,Yes,Postgraduate,85.86
136,18,Male,96,6,45,77,10,No,Yes,High School,85.59
137,23,Male,80,5,100,78,3,Yes,Yes,High School,83.86
138,18,Male,90,26,97,67,8,Yes,Yes,High School,100.0
139,17,Male,95,1,45,58,10,Yes,Yes,Graduate,73.95
140,20,Female,99,12,92,70,9,No,Yes,High School,94.1
141,23,Male,75,27,41,44,3,Yes,Yes,Graduate,89.91
142,17,Male,98,26,97,54,6,Yes,Yes,Postgraduate,100.0
143,20,Female,99,11,97,46,7,Yes,Yes,Graduate,88.79
144,18,Female,54,4,57,96,1,No,Yes,High School,63.79
145,17,Female,69,27,62,52,7,No,Yes,Postgraduate,99.33
146,23,Male,90,18,41,97,4,Yes,Yes,Graduate,90.82
147,23,Male,60,4,51,59,5,Yes,Yes,High School,61.74
148,22,Female,82,17,61,46,8,No,Yes,Graduate,86.65
149,21,Female,99,2,76,55,4,No,Yes,Graduate,62.25
150,19,Female,87,29,59,59,4,No,Yes,Postgraduate,100.0
151,20,Female,76,24,78,45,8,No,Yes,Postgraduate,93.86
152,22,Female,83,22,63,98,5,Yes,Yes,High School,100.0
153,19,Female,64,2,87,84,6,No,No,High School,84.79
154,19,Male,81,12,59,96,5,Yes,Yes,High School,90.4
155,17,Male,70,6,40,83,1,No,Yes,Graduate,58.86
156,19,Male,95,10,40,48,7,Yes,Yes,Graduate,77.99
157,21,Female,54,25,56,35,6,Yes,Yes,Graduate,85.62
158,23,Female,55,23,98,59,2,No,Yes,High School,80.17
159,22,Female,87,25,40,93,7,Yes,Yes,Postgraduate,100.0
160,19,Female,71,21,92,39,6,Yes,Yes,Postgraduate,88.78
161,17,Female,67,23,91,53,5,Yes,Yes,High School,92.51
162,21,Female,63,27,84,57,8,No,Yes,Graduate,99.47
163,18,Male,59,16,69,43,5,No,Yes,Graduate,79.24
164,23,Male,95,14,80,84,2,No,Yes,High School,89.79
165,23,Female,62,7,86,50,6,Yes,Yes,High School,73.01
166,22,Male,80,28,42,67,1,Yes,Yes,High School,79.73
167,23,Female,79,28,85,36,5,Yes,Yes,High School,97.15
168,19,Male,52,19,94,48,6,Yes,Yes,Graduate,97.7
169,17,Female,79,23,50,35,7,No,Yes,High School,85.96
170,23,Female,55,17,63,92,2,Yes,Yes,High School,81.91
171,23,Male,78,9,61,50,1,Yes,Yes,Graduate,64.42
172,18,Male,57,26,83,81,6,Yes,Yes,High School,100.0
173,18,Female,93,13,84,78,3,No,Yes,Graduate,95.23
174,20,Female,94,22,65,48,5,Yes,Yes,Graduate,88.47
175,21,Male,92,5,52,58,2,No,Yes,Graduate,60.77
176,19,Male,93,23,40,89,1,No,Yes,Postgraduate,94.13
177,23,Female,82,5,63,49,1,Yes,Yes,High School,58.5
178,23,Male,66,10,49,68,4,Yes,No,Graduate,75.76
179,17,Female,97,21,74,36,10,Yes,Yes,High School,98.31
180,20,Female,60,27,63,61,2,Yes,Yes,Postgraduate,85.36
181,21,Female,62,10,67,57,1,No,Yes,Postgraduate,63.47
182,20,Female,99,27,75,48,6,No,Yes,High School,94.86
183,22,Male,60,7,55,97,4,No,Yes,Graduate,66.28
184,21,Male,80,26,79,99,10,No,Yes,High School,100.0
185,23,Male,77,15,55,97,7,No,Yes,Postgraduate,100.0
186,23,Male,93,7,98,98,6,No,Yes,High School,92.2
187,21,Male,55,29,56,66,5,No,Yes,Postgraduate,100.0
188,23,Male,90,27,90,47,10,No,Yes,High School,100.0
189,19,Male,65,15,93,53,2,No,Yes,Graduate,69.72
190,21,Female,53,3,54,58,5,No,Yes,Postgraduate,65.35
191,20,Male,84,19,55,45,9,Yes,Yes,Postgraduate,100.0
192,21,Male,97,10,54,93,9,Yes,Yes,High School,97.05
193,23,Female,75,28,96,49,2,Yes,Yes,Graduate,95.61
194,19,Male,61,29,73,44,7,No,No,High School,91.54
195,19,Male,60,15,50,75,10,Yes,Yes,Graduate,87.16
196,22,Female,86,3,40,61,4,No,Yes,High School,60.86
197,20,Male,74,6,54,94,3,No,Yes,High School,69.24
198,18,Male,67,12,65,86,1,Yes,Yes,Graduate,79.87
199,18,Male,68,15,90,62,3,No,Yes,High School,80.13
200,21,Female,72,6,43,99,9,Yes,Yes,Graduate,92.5
201,22,Male,87,13,82,51,9,No,Yes,High School,90.09
202,17,Male,67,29,44,78,7,No,No,High School,93.66
203,21,Female,75,19,74,44,3,Yes,Yes,Graduate,81.94
204,22,Male,55,3,52,97,3,Yes,No,High School,72.73
205,20,Female,53,8,49,81,4,Yes,Yes,High School,65.58
206,20,Female,93,8,50,72,7,Yes,Yes,Graduate,93.13
207,20,Male,100,23,57,87,7,Yes,Yes,Graduate,100.0
208,20,Female,78,26,73,78,2,Yes,Yes,Graduate,100.0
209,20,Female,83,20,78,88,5,No,Yes,High School,94.23
210,22,Male,66,15,80,54,7,No,Yes,High School,81.82
211,22,Female,92,4,81,65,7,No,No,Postgraduate,80.19
212,19,Female,92,19,89,41,6,No,No,Postgraduate,83.52
213,18,Male,65,21,62,92,10,Yes,Yes,High School,100.0
214,23,Male,51,3,46,44,10,No,Yes,Graduate,66.15
215,20,Male,83,13,98,44,8,No,Yes,High School,88.3
216,17,Female,57,8,78,73,3,Yes,Yes,High School,71.91
217,23,Male,62,23,42,62,1,No,Yes,High School,70.59
218,22,Female,91,16,51,64,3,Yes,No,Graduate,86.5
219,17,Female,57,13,46,71,2,Yes,Yes,High School,71.12
220,17,Female,79,3,88,77,2,Yes,Yes,Postgraduate,74.17
221,17,Female,81,16,65,86,2,No,Yes,Graduate,87.57
222,19,Female,85,9,72,90,5,Yes,Yes,High School,80.33
223,22,Female,96,28,76,43,1,No,Yes,Graduate,89.59
224,17,Female,79,14,87,57,10,No,Yes,High School,95.23
225,20,Male,50,13,54,97,4,No,No,Graduate,79.45
226,21,Male,92,21,41,95,10,Yes,Yes,High School,100.0
227,17,Female,88,25,80,74,5,Yes,Yes,High School,100.0
228,19,Female,66,7,46,78,2,Yes,Yes,High School,68.48
229,23,Male,69,15,71,58,5,No,No,High School,85.14
230,22,Female,73,7,43,85,10,No,No,High School,88.12
231,19,Male,99,6,59,92,4,Yes,Yes,High School,87.14
232,17,Male,71,2,89,67,8,No,Yes,Postgraduate,82.63
233,22,Male,78,9,92,50,1,Yes,No,High School,66.02
234,21,Female,71,22,75,56,5,Yes,Yes,High School,86.96
235,17,Female,93,24,71,91,10,No,Yes,Postgraduate,100.0
236,19,Male,58,17,67,96,1,No,Yes,Graduate,84.0
237,18,Male,86,5,52,64,10,Yes,Yes,Graduate,77.93
238,20,Male,59,12,40,57,10,No,Yes,High School,72.14
239,23,Male,85,1,99,66,4,Yes,Yes,Graduate,72.75
240,19,Male,86,10,95,91,8,Yes,Yes,High School,100.0
241,22,Female,77,11,74,43,1,No,Yes,Graduate,68.69
242,17,Male,77,16,87,65,2,Yes,Yes,Postgraduate,88.92
243,20,Female,91,14,69,43,1,No,Yes,Graduate,71.92
244,17,Male,92,8,93,47,7,Yes,Yes,High School,84.7
245,22,Female,70,24,75,92,2,No,Yes,Graduate,93.66
246,17,Female,73,17,96,37,1,No,Yes,Graduate,67.31
247,18,Female,91,25,94,69,6,Yes,No,Graduate,100.0
248,20,Female,89,18,64,55,6,No,No,Graduate,78.7
249,20,Female,51,12,55,98,10,No,No,Graduate,91.81
250,22,Female,57,25,97,86,2,Yes,Yes,Graduate,98.29
251,23,Male,97,17,58,68,1,No,Yes,Postgraduate,85.3
252,18,Female,76,28,40,69,10,Yes,No,Postgraduate,100.0
253,19,Male,71,26,44,49,3,No,Yes,High School,82.02
254,17,Female,86,14,90,40,10,Yes,Yes,Graduate,81.44
255,21,Female,76,16,61,66,5,Yes,Yes,High School,90.3
256,17,Male,78,14,63,86,6,Yes,Yes,Graduate,97.78
257,17,Female,52,9,82,62,3,Yes,Yes,High School,75.36
258,19,Male,93,4,84,98,9,No,Yes,Graduate,100.0
259,17,Male,62,25,91,53,5,Yes,Yes,Graduate,97.72
260,18,Male,94,23,76,49,2,No,Yes,High School,81.54
261,18,Male,59,11,92,40,10,Yes,No,Postgraduate,87.59
262,20,Female,85,6,75,72,6,No,Yes,Graduate,81.85
263,22,Female,58,15,75,60,8,Yes,Yes,High School,90.98
264,23,Male,76,5,43,85,6,No,No,Graduate,76.66
265,21,Female,83,11,75,87,4,No,Yes,Postgraduate,90.72
266,17,Female,100,25,91,90,6,Yes,Yes,High School,100.0
267,17,Male,50,18,92,93,8,Yes,Yes,Graduate,100.0
268,19,Female,81,30,57,92,8,Yes,Yes,Graduate,100.0
269,22,Male,74,13,89,47,10,No,No,Postgraduate,98.33
270,18,Male,78,11,55,77,2,No,Yes,Graduate,77.74
271,21,Female,56,14,80,85,8,No,No,Graduate,94.38
272,20,Female,98,28,57,53,6,No,Yes,Postgraduate,100.0
273,18,Female,52,18,61,55,2,Yes,Yes,Postgraduate,75.73
274,22,Male,69,27,41,58,1,Yes,Yes,Graduate,80.07
275,23,Male,69,28,60,60,6,Yes,Yes,High School,81.4
276,20,Female,79,25,75,79,7,Yes,Yes,High School,100.0
277,23,Female,84,28,83,62,10,No,Yes,Graduate,100.0
278,19,Female,84,19,78,63,5,No,Yes,Graduate,89.72
279,19,Female,98,24,86,51,10,Yes,Yes,High School,100.0
280,17,Male,88,27,78,78,8,No,Yes,High School,100.0
281,23,Female,76,15,68,95,9,Yes,Yes,Graduate,100.0
282,22,Male,75,9,93,59,4,No,Yes,High School,64.48
283,21,Male,63,8,65,36,7,No,Yes,High School,66.16
284,20,Female,66,20,60,83,8,No,No,High School,89.81
285,18,Female,67,28,56,60,6,No,Yes,Graduate,91.62
286,22,Female,94,1,55,61,2,No,Yes,Graduate,63.17
287,22,Male,78,4,99,52,7,No,Yes,High School,69.99
288,19,Female,69,14,70,88,9,Yes,Yes,High School,100.0
289,23,Female,76,25,90,35,5,No,No,Graduate,81.42
290,17,Male,67,2,48,95,2,Yes,Yes,Graduate,69.54
291,17,Female,53,16,70,37,4,Yes,No,Graduate,66.7
292,20,Male,50,3,53,75,3,Yes,Yes,High School,60.12
293,19,Female,99,26,88,71,4,Yes,No,Graduate,100.0
294,22,Male,50,8,76,85,10,Yes,Yes,Postgraduate,86.35
295,21,Female,75,6,41,49,7,Yes,Yes,High School,73.66
296,19,Female,94,16,91,42,10,No,Yes,Graduate,90.31
297,20,Male,69,24,87,72,8,No,Yes,High School,100.0
298,20,Male,72,16,85,90,1,No,Yes,High School,91.44
299,19,Female,59,7,53,81,8,Yes,Yes,High School,82.3
300,20,Male,60,30,98,44,5,Yes,Yes,Graduate,93.91
301,19,Male,90,13,72,83,7,Yes,Yes,High School,97.41
302,18,Male,90,13,74,75,1,No,Yes,High School,91.45
303,19,Male,54,5,97,64,2,No,Yes,High School,64.66
304,23,Female,50,25,78,39,1,No,Yes,High School,72.75
305,19,Female,66,20,97,65,5,Yes,Yes,Graduate,95.36
306,20,Male,71,22,86,86,6,Yes,No,High School,100.0
307,23,Male,83,18,90,57,10,Yes,Yes,High School,100.0
308,20,Male,94,15,59,82,9,No,Yes,Graduate,100.0
309,17,Male,90,18,41,74,8,Yes,Yes,Graduate,95.24
310,17,Female,78,2,90,40,7,Yes,No,Graduate,63.82
311,23,Female,53,10,80,72,5,Yes,Yes,High School,90.41
312,18,Male,54,23,58,75,3,Yes,Yes,Graduate,88.77
313,17,Male,60,13,98,61,9,No,Yes,High School,100.0
314,19,Male,100,18,76,91,5,No,Yes,High School,100.0
315,20,Female,70,15,57,51,3,Yes,Yes,Graduate,77.25
316,17,Male,84,12,55,81,3,Yes,Yes,Postgraduate,85.0
317,17,Female,61,15,43,47,3,No,Yes,Graduate,62.29
318,18,Male,75,13,51,45,6,No,No,High School,67.12
319,23,Female,100,18,68,58,1,Yes,Yes,Postgraduate,83.34
320,23,Male,68,15,46,38,4,No,Yes,High School,59.48
321,22,Female,94,25,53,80,8,No,Yes,Postgraduate,100.0
322,18,Male,56,23,94,52,3,Yes,Yes,High School,90.8
323,19,Male,96,11,51,77,5,No,Yes,High School,89.04
324,23,Male,56,19,74,67,2,No,Yes,Graduate,85.87
325,20,Female,75,3,44,44,2,No,Yes,Postgraduate,50.79
326,18,Male,89,7,56,93,7,No,Yes,Postgraduate,83.25
327,17,Female,54,21,97,65,10,Yes,No,Graduate,100.0
328,20,Female,70,26,81,62,3,No,Yes,Graduate,93.56
329,20,Male,63,14,71,94,5,No,Yes,Graduate,96.22
330,17,Male,53,14,49,37,3,Yes,Yes,Graduate,62.88
331,18,Male,72,22,82,89,6,No,Yes,Postgraduate,100.0
332,17,Female,91,13,56,48,10,Yes,Yes,High School,84.64
333,22,Male,69,12,44,92,3,Yes,Yes,High School,83.16
334,20,Female,64,24,84,49,8,No,Yes,Postgraduate,95.56
335,21,Female,99,9,81,36,2,No,Yes,Postgraduate,72.43
336,21,Male,94,1,48,58,3,No,Yes,High School,57.27
337,19,Male,78,19,88,98,8,No,Yes,High School,100.0
338,23,Male,57,11,72,58,8,No,Yes,Postgraduate,79.21
339,17,Male,90,23,75,61,1,Yes,Yes,Graduate,91.69
340,17,Male,97,22,75,71,8,No,Yes,Graduate,100.0
341,19,Male,68,23,57,73,10,Yes,Yes,High School,98.27
342,19,Female,97,24,48,97,2,No,Yes,Postgraduate,100.0
343,19,Female,88,22,96,60,7,Yes,Yes,High School,100.0
344,20,Female,95,19,68,99,6,No,Yes,High School,100.0
345,22,Male,77,18,100,38,2,No,Yes,High School,85.62
346,17,Female,95,12,89,63,5,No,Yes,Postgraduate,93.14
347,20,Female,76,23,53,35,7,No,Yes,Graduate,81.65
348,19,Female,53,28,64,84,8,No,No,Graduate,100.0
349,17,Female,64,28,54,45,3,Yes,Yes,High School,81.05
350,20,Female,84,28,45,93,1,No,Yes,Postgraduate,97.77
351,22,Male,86,27,95,96,7,No,Yes,Graduate,100.0
352,20,Male,50,1,81,70,5,No,Yes,Graduate,68.0
353,22,Female,52,19,68,90,5,Yes,Yes,Postgraduate,100.0
354,19,Female,96,28,54,55,7,No,Yes,High School,100.0
355,22,Female,73,27,68,47,1,Yes,No,Graduate,90.28
356,17,Male,76,20,43,43,8,No,No,Postgraduate,80.51
357,19,Male,89,29,57,45,10,Yes,No,Graduate,100.0
358,17,Female,85,30,89,35,5,No,Yes,Graduate,93.9
359,21,Male,83,17,96,90,8,No,No,High School,100.0
360,18,Male,78,5,88,65,10,Yes,Yes,Graduate,87.98
361,22,Female,73,26,83,71,10,No,Yes,Graduate,100.0
362,18,Male,73,3,78,81,5,Yes,Yes,High School,80.51
363,18,Male,91,2,55,81,7,No,Yes,Postgraduate,73.76
364,22,Female,53,3,50,92,10,No,Yes,High School,74.25
365,19,Male,52,8,53,70,3,Yes,Yes,High School,69.85
366,21,Male,83,16,42,66,2,No,Yes,Graduate,75.29
367,17,Female,98,6,90,98,6,Yes,No,Graduate,94.82
368,20,Male,72,13,89,76,5,Yes,Yes,High School,83.8
369,17,Male,72,30,81,82,9,No,Yes,High School,100.0
370,20,Female,94,23,77,64,10,No,Yes,High School,100.0
371,17,Female,54,28,84,55,4,No,No,High School,85.63
372,22,Female,80,22,81,94,3,Yes,Yes,High School,100.0
373,21,Male,90,22,57,47,9,Yes,Yes,High School,100.0
374,20,Female,55,16,97,35,8,No,No,High School,76.1
375,23,Male,86,28,59,99,6,Yes,Yes,Graduate,100.0
376,19,Female,59,16,97,67,1,Yes,Yes,Postgraduate,72.03
377,17,Male,89,3,87,72,10,Yes,Yes,Graduate,85.62
378,17,Female,56,28,64,59,1,Yes,Yes,Graduate,81.56
379,20,Female,88,13,96,60,6,No,Yes,High School,80.25
380,19,Female,87,14,77,93,3,No,Yes,Graduate,91.97
381,19,Female,70,8,52,67,3,No,No,Graduate,67.01
382,22,Male,69,12,43,75,6,Yes,No,Graduate,89.12
383,23,Female,52,23,94,64,3,Yes,Yes,High School,90.53
384,22,Female,100,23,53,91,10,Yes,Yes,High School,100.0
385,22,Male,71,22,72,83,6,Yes,No,Graduate,97.31
386,22,Female,96,21,67,82,5,No,Yes,Graduate,100.0
387,22,Male,53,26,91,83,4,Yes,Yes,Postgraduate,100.0
388,22,Female,77,8,76,81,8,Yes,Yes,High School,93.83
389,21,Female,61,21,47,90,2,No,Yes,High School,81.73
390,19,Female,87,25,83,99,7,No,Yes,Graduate,100.0
391,22,Male,100,9,73,46,4,No,Yes,Postgraduate,77.73
392,19,Female,85,1,83,40,2,Yes,Yes,High School,59.16
393,19,Female,96,6,44,99,7,Yes,No,Graduate,89.6
394,18,Female,90,23,93,59,1,Yes,Yes,High School,88.02
395,21,Male,54,19,44,35,4,Yes,Yes,Graduate,69.36
396,22,Male,62,23,70,66,9,Yes,No,Graduate,100.0
397,17,Female,72,11,84,37,4,Yes,Yes,Postgraduate,68.35
398,20,Male,99,11,48,83,3,No,Yes,High School,80.05
399,23,Female,79,23,81,53,10,Yes,Yes,High School,100.0
400,17,Female,86,30,71,94,10,No,Yes,Graduate,100.0
401,21,Female,74,13,72,63,2,No,Yes,High School,79.69
402,20,Female,97,11,42,84,3,No,Yes,Graduate,82.44
403,21,Female,76,18,69,36,1,Yes,Yes,Graduate,67.71
404,19,Female,100,23,89,90,10,Yes,No,High School,100.0
405,20,Female,63,15,51,51,8,No,Yes,Postgraduate,75.94
406,19,Male,97,1,68,94,1,Yes,Yes,High School,73.06
407,17,Male,96,21,42,70,3,Yes,Yes,Postgraduate,91.92
408,17,Male,85,25,65,95,3,No,Yes,Postgraduate,100.0
409,20,Male,88,7,96,51,2,Yes,Yes,Graduate,85.94
410,20,Male,65,23,100,83,5,Yes,Yes,High School,100.0
411,22,Male,71,27,69,94,10,Yes,Yes,Postgraduate,100.0
412,21,Male,70,13,48,54,3,Yes,Yes,Graduate,72.82
413,22,Female,70,12,65,84,3,No,Yes,High School,74.7
414,21,Female,57,18,41,37,8,No,Yes,High School,70.1
415,22,Female,98,24,42,77,4,Yes,No,High School,94.56
416,19,Female,65,19,85,91,4,Yes,Yes,Postgraduate,100.0
417,20,Male,80,15,43,84,3,Yes,Yes,Postgraduate,86.63
418,17,Male,91,8,64,84,1,No,Yes,Postgraduate,81.87
419,21,Female,59,19,90,71,8,Yes,Yes,Graduate,100.0
420,21,Female,81,10,52,80,1,Yes,Yes,Graduate,79.05
421,17,Male,83,7,78,76,7,No,Yes,High School,90.83
422,22,Female,58,18,83,49,5,Yes,Yes,High School,79.59
423,21,Female,66,16,74,67,4,No,Yes,High School,86.22
424,23,Female,60,20,94,45,4,Yes,Yes,Graduate,92.52
425,19,Female,81,27,62,54,8,No,Yes,Postgraduate,100.0
426,20,Male,59,6,48,58,6,Yes,Yes,Postgraduate,62.1
427,17,Female,71,27,41,98,1,Yes,Yes,High School,100.0
